unidade_id,grupamento,vagas,referencia
0515610,maternal_2,25,2025-07-11
0515611,bercario,20,2025-07-11
0515611,maternal_1,50,2025-07-11
0515611,maternal_2,25,2025-07-11
0515612,bercario,25,2025-07-11
0515612,maternal_1,50,2025-07-11
0515612,maternal_2,75,2025-07-11
0515613,bercario,50,2025-07-11
0515613,maternal_1,50,2025-07-11
0515613,maternal_2,50,2025-07-11
0515801,bercario,25,2025-07-11
0515801,maternal_1,50,2025-07-11
0515801,maternal_2,25,2025-07-11
0515802,maternal_2,100,2025-07-11
0515803,maternal_2,25,2025-07-11
0515804,maternal_2,50,2025-07-11
0515805,maternal_2,50,2025-07-11
0515807,bercario,25,2025-07-11
0515807,maternal_1,25,2025-07-11
0515807,maternal_2,50,2025-07-11
0515808,bercario,25,2025-07-11
0515808,maternal_1,25,2025-07-11
0515808,maternal_2,43,2025-07-11
0515809,bercario,50,2025-07-11
0515809,bercario,50,2025-07-11
0515809,maternal_1,50,2025-07-11
0515809,maternal_1,50,2025-07-11
0515809,maternal_2,75,2025-07-11
0515809,maternal_2,75,2025-07-11
0515810,bercario,15,2025-07-11
0515810,bercario,15,2025-07-11
0515810,maternal_1,34,2025-07-11
0515810,maternal_1,34,2025-07-11
0515810,maternal_2,40,2025-07-11
0515810,maternal_2,40,2025-07-11
0622202,maternal_1,100,2025-07-11
0622202,maternal_2,100,2025-07-11
0622601,bercario,25,2025-07-11
0622601,maternal_1,25,2025-07-11
0622601,maternal_2,50,2025-07-11
0622602,bercario,25,2025-07-11
0622602,maternal_1,50,2025-07-11
0622602,maternal_2,75,2025-07-11
0622603,bercario,25,2025-07-11
0622603,maternal_1,75,2025-07-11
0622603,maternal_2,100,2025-07-11
0622801,maternal_1,50,2025-07-11
0622801,maternal_2,50,2025-07-11
0622802,maternal_2,25,2025-07-11
0622804,bercario,50,2025-07-11
0622804,maternal_1,50,2025-07-11
0622804,maternal_2,50,2025-07-11
0622805,bercario,25,2025-07-11
0622805,maternal_1,50,2025-07-11
0622805,maternal_2,50,2025-07-11
0622810,maternal_2,50,2025-07-11
0625601,bercario,25,2025-07-11
0625601,maternal_1,50,2025-07-11
0625601,maternal_2,50,2025-07-11
0625602,bercario,25,2025-07-11
0625602,maternal_1,50,2025-07-11
0625602,maternal_2,50,2025-07-11
0625603,bercario,25,2025-07-11
0625603,maternal_1,25,2025-07-11
0625603,maternal_2,50,2025-07-11
